wilayah,nama_puskesmas,alamat_puskesmas,,,,,,,,,,,,,
Jakarta Utara,KEL. Papanggo II,Jl. Bisma Timur II (Koml Kel Papanggo),,,,,,,,,,,,,
Jakarta Utara,KEL. Kebon Bawang I,Jl. Swasembada Barat VII No. 2,,,,,,,,,,,,,
Jakarta Utara,KEL. Kebon Bawang II,Jl.Swasembada Timur VI/1 Rt.007/010 No.19,,,,,,,,,,,,,
Jakarta Utara,Kel. Kebon Bawang III,Jl. Swasembada Barat II NO. 83 RT 002/09,,,,,,,,,,,,,
Jakarta Utara,KEL. Warakas,Jl. Warakas IX gang 13 /22 RT 007/011,,,,,,,,,,,,,
Jakarta Utara,KEL. Sungai Bambu,Jl. Sungai Bambu IV/24 RT.005/08,,,,,,,,,,,,,
Jakarta Utara,KEL. Tanjung Priok,Jl. Bahari II / 65 RT 001/01,,,,,,,,,,,,,
Jakarta Utara,KEL. Sunter Agung I,Jl. Bambu Kuning  No. 6,,,,,,,,,,,,,
Jakarta Utara,KEL. Sunter Agung II,Jl. Agung Barat XXV /1 Blok B 22,,,,,,,,,,,,,
Jakarta Utara,KEL. Sunter Agung III,Jl. Taman NYiur Komp.BI RT.003/015,,,,,,,,,,,,,
Jakarta Utara,KEL. Sunter Jaya I,Jl. H Amsir ,,,,,,,,,,,,,
Jakarta Utara,KEL. Sunter Jaya II,Jl.Kebon Sereh Rt.0017/07,,,,,,,,,,,,,
Jakarta Utara,KEC. Koja,Jl. Mahoni Selatan No.1,,,,,,,,,,,,,
Jakarta Utara,KEL. Tugu Utara III,Jl Kramat Jaya  Blok R gg VII rt 001/018,,,,,,,,,,,,,
Jakarta Utara,KEL. Koja,Jl. Deli Lorong 28 No. 2,,,,,,,,,,,,,
Jakarta Utara,KEL. Rawa Badak Utara I,Jl.Rawa Badak Utara Gg 11 No.37,,,,,,,,,,,,,
Jakarta Utara,KEL. Rawa Badak Utara II,Jl. Rawa Binangun I  RT 08/ RW 08,,,,,,,,,,,,,
Jakarta Utara,KEL. Tugu Selatan,Jl. H. Romli Rt 1 /05,,,,,,,,,,,,,
Jakarta Utara,KEL. Lagoa,Jl. Magga No.1 RT 001/09,,,,,,,,,,,,,
Jakarta Utara,KEL. Rawa Badak Selatan,Jalan Alur Laut NO 1A rt 008 Rw 05,,,,,,,,,,,,,
Jakarta Utara,KEC. Kelapa Gading,Jl Pelepah Elok Blok HF no 7,,,,,,,,,,,,,
Jakarta Utara,KEL. Kelapa Gading Barat,,,,,,,,,,,,,,
Jakarta Utara,KEL. Kelapa Gading Timur I,JL. Kemenkes Komp Perdagangan,,,,,,,,,,,,,
Jakarta Utara,KEL. Kelapa Gading Timur II,Jl. Merah Jambu Blok EJ/22 RT 009/ RW 09,,,,,,,,,,,,,
Jakarta Utara,KEL. Pegangsaan Dua A,Jl. Pegangsaan / H.Oyar  RT 005/ Rw 01,,,,,,,,,,,,,
Jakarta Utara,KEL. Pegangsaan Dua  B,Jl. Gandang Rt 002/07,,,,,,,,,,,,,
Jakarta Utara,KEC. Cilincing,"Jl. Sungai Landak No.26,  RT 11/ RW 08, Kel. Cilincing",,,,,,,,,,,,,
Jakarta Utara,KEL. Cilincing I,Jl. Pasar Pagi No. 11A,,,,,,,,,,,,,
Jakarta Utara,KEL. Semper Timur,jl. Alur laut GG K2 rt 09/05,,,,,,,,,,,,,
Jakarta Utara,KEL. Kalibaru,Jl.Kosambi I No. 60,,,,,,,,,,,,,
Jakarta Utara,KEL. Semper Barat I,Jl.  Durian 49,,,,,,,,,,,,,
Jakarta Utara,KEL. Semper Barat II,Jl. Tipar  No. 18 RT 01,,,,,,,,,,,,,
Jakarta Utara,KEL. Semper Barat III, Jl. Pepaya V Blok S RT 06/016,,,,,,,,,,,,,
Jakarta Utara,KEL. Marunda,Jl. Marunda Baru No. 5 RT 009/02,,,,,,,,,,,,,
Jakarta Utara,KEL. Sukapura,Jl. Tipar Cakung,,,,,,,,,,,,,
Jakarta Utara,KEL. Rorotan,Jl. Manunggal Juang 19 No. 4,,,,,,,,,,,,,
Jakarta Utara,Poskes Rusun Marunda,JL. MARUNDA CLUSTER B BLOK 8,,,,,,,,,,,,,
Jakarta Barat,KEC. Kembangan,Jl.Raya Kembangan Rt.008/02 No.52,,,,,,,,,,,,,
Jakarta Barat,KEL. Meruya Utara,Jl.Meruya Utara Rt.004/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Meruya Selatan I,JL.Meruya Selatan ,,,,,,,,,,,,,
Jakarta Barat,KEL. Meruya Selatan II,Jl.Meruya Selatan Rt.001/01,,,,,,,,,,,,,
Jakarta Barat,KEL. Joglo I,Jl.Meruya Selatan Rt.02/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Joglo II,Jl. Komp. Pemadam Kebakaran,,,,,,,,,,,,,
Jakarta Barat,KEL. Srengseng,Jl. Raya Srengseng RT 01/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Kembangan Selatan,JL.Kp.Manggis,,,,,,,,,,,,,
Jakarta Barat,KEC. Kebon Jeruk,Jl. Raya Kebon Jeruk  NO. 2 RT 09/01,,,,,,,,,,,,,
Jakarta Barat,KEL. Kebon Jeruk,Jl.Kampung Rawa Rt.001/02,,,,,,,,,,,,,
Jakarta Barat,KEL. Kedoya Selatan,Jl. Kedoya Raya No 47 RT 03/03,,,,,,,,,,,,,
Jakarta Barat,KEL. Duri Kepa,Jl. Angsana Raya No.1,,,,,,,,,,,,,
