wilayah,nama_puskesmas,alamat_puskesmas,,,,,,,,,,,,,
Jakarta Timur,Kel. Pekayon ,Jl. Bulak Sari RT 009/06,,,,,,,,,,,,,
Jakarta Timur,Kel. Baru ,Jl. Puskesmas Kel. Baru RT 003/03,,,,,,,,,,,,,
Jakarta Timur,Kel. Gedong ,Jl. Raya Condet RT 01/03,,,,,,,,,,,,,
Jakarta Timur,Kel. Cijantung ,Jl. Pertengahan Kel. Cijantung 05/07,,,,,,,,,,,,,
Jakarta Timur,Kel. Kalisari ,Jl. Puskesmas Kel. Kalisari Rt 003/03,,,,,,,,,,,,,
Jakarta Timur,KEC. Ciracas ,Jl. H. Baping RT 009/06,,,,,,,,,,,,,
Jakarta Timur,Kel. Cibubur ,Jl. Mesjid Fathul Gofur RT 010/04,,,,,,,,,,,,,
Jakarta Timur,Kel. Rambutan ,Jl. H. Jenih RT 012/01,,,,,,,,,,,,,
Jakarta Timur,Kel. Ciracas ,Jl. Raya Cantex RT 012/02 ,,,,,,,,,,,,,
Jakarta Timur,Kel. Kelapa Dua Wetan ,Jl. Raya Kelapa Dua Wetan RT 001/06,,,,,,,,,,,,,
Jakarta Timur,KEC. Cipayung ,Jl Bambu Hitam Rt 10 rw 4 kel cipayung ,,,,,,,,,,,,,
Jakarta Timur,Kel. Cipayung ,Jl. Prapatan Kencur,,,,,,,,,,,,,
Jakarta Timur,Kel. Lubang Buaya ,Jl. SPG 7 RT 005/09,,,,,,,,,,,,,
Jakarta Timur,Kel. Bambu Apus  I ,Jl. Mini III RT 002/03,,,,,,,,,,,,,
Jakarta Timur,Kel. Bambu Apus II ,Jl. Shinta Raya No 9,,,,,,,,,,,,,
Jakarta Timur,Kel. Munjul ,Jl. Dalang RT 012/02,,,,,,,,,,,,,
Jakarta Timur,Kel. Ceger ,Jl. Puskesmas RT 001/03 ,,,,,,,,,,,,,
Jakarta Timur,Kel. Setu ,Jl. Pukesmas No 16 RT 004/03,,,,,,,,,,,,,
Jakarta Timur,Kel. Cilangkap ,Jl. Sepakat V,,,,,,,,,,,,,
Jakarta Timur,Kel. Pondok Ranggon  I ,Jl. Kramat Gancang Rt 001/04,,,,,,,,,,,,,
Jakarta Timur,KEC. Makasar ,Jl. Pusdiklat DEPNAKER No 37,,,,,,,,,,,,,
Jakarta Timur,Kel. Makasar ,Jl. Masjid Al-Munir,,,,,,,,,,,,,
Jakarta Timur,Kel. Cipinang Melayu ,Jl. Budi Harapan II,,,,,,,,,,,,,
Jakarta Timur,Kel. Kebon Pala ,Jl. Kamboja ,,,,,,,,,,,,,
Jakarta Timur,Kel. Halim P.Kusuma I ,Jl. Permadi Dirgantara I,,,,,,,,,,,,,
Jakarta Timur,Kel. Halim P.Kusuma II,Jl. Golf Halim Dirgantara,,,,,,,,,,,,,
Jakarta Timur,Kel. Pinang Ranti ,Jl. Pondok Gede,,,,,,,,,,,,,
Jakarta Timur,KEC. Kramat Jati ,Jl. Kerja Bakti No.26 RT 02/10,,,,,,,,,,,,,
Jakarta Timur,Kel. Kramat Jati I ,Jl.RS Soekanto,,,,,,,,,,,,,
Jakarta Timur,Kel.Kampung Tengah,Jl. Murai Rt 002/02,,,,,,,,,,,,,
Jakarta Timur,Kel. Cawang ,Jl. Mesjid Bendungan Cawang II RT 009/010,,,,,,,,,,,,,
Jakarta Timur,Kel. Cililitan ,Jl. Ciliwung Buluh Rt 005/16,,,,,,,,,,,,,
Jakarta Timur,Kel. Batu Ampar ,Jl. Batu Ampar II Wadas Rt 008/03,,,,,,,,,,,,,
Jakarta Timur,Kel. Bale Kambang ,Jl. Gardu Rt 001/02,,,,,,,,,,,,,
Jakarta Timur,Kel. Dukuh ,Jl. Puskesmas,,,,,,,,,,,,,
Jakarta Timur,KEC. Jatinegara ,Jl. Matraman Raya 220,,,,,,,,,,,,,
Jakarta Timur,Kel. Bali Mester ,Jl. Wedana Dalam 006/02,,,,,,,,,,,,,
Jakarta Timur,Kel. Kampung Melayu,Jl. Kebon Pala I / 32,,,,,,,,,,,,,
Jakarta Timur,Kel. Bidara Cina I ,Jl. Otista 82,,,,,,,,,,,,,
Jakarta Timur,Kel.Bidara Cina II ,Jl. Nilam Kp. Dahlia RT 0013/011,,,,,,,,,,,,,
Jakarta Timur,Kel. Bidara Cina III ,Jl. Tanjung Lengkong RT 0017/07,,,,,,,,,,,,,
Jakarta Timur,Kel. Cipinang Cipedak ,Jl. Cipinang Cempedak IV,,,,,,,,,,,,,
Jakarta Timur,Kel. Rawa Bunga ,Jl. Jatinegara Timur IV RT 02/07,,,,,,,,,,,,,
Jakarta Timur,Kel.Cipinang Muara,Jl. BB I RT 06/15 Cipinang Muara,,,,,,,,,,,,,
Jakarta Timur,Kel. Cipinang Besar Utara ,Jl. Cipinang Pulo Maja Rt 0015/11,,,,,,,,,,,,,
Jakarta Timur,Kel. Cipinang Besar Selatan I ,Jl. Cipinang Jaya Gg RT 001/07,,,,,,,,,,,,,
Jakarta Timur,Kel. Cipinang Besar Selatan II,Jl. Pancawarga IV /4,,,,,,,,,,,,,
Jakarta Timur,KEC. Duren Sawit ,Jl. H. Dogol  No. 15 A (samping SMUN 71),,,,,,,,,,,,,
Jakarta Timur,Kel. Duret Sawit ,Jl. Kelurahan Raya RT 005/02,,,,,,,,,,,,,
Jakarta Timur,Kel.Pondok Bambu I,Jl. Kesehatan 5 RT 002/05,,,,,,,,,,,,,
Jakarta Timur,Kel. Pondok Bambu II ,Jl. Cipinang Muara II RT 005/02,,,,,,,,,,,,,
Jakarta Timur,Kel. Klender  I ,Jl. Pertanian Timur RT 03/02,,,,,,,,,,,,,
Jakarta Timur,Kel. Klender  II ,Jl. Bulak Timur I No 8 RT 004/16,,,,,,,,,,,,,
Jakarta Timur,Kel. Klender  III ,Jl. Taman Buaran Indah II,,,,,,,,,,,,,
Jakarta Timur,Kel. Malaka Jaya ,Jl. Raya Teratai Putih No 1,,,,,,,,,,,,,
Jakarta Timur,Kel. Malaka Sari ,Jl. Raya Malaka III RT 001/06,,,,,,,,,,,,,
Jakarta Timur,Kel. Pondok Kopi  I ,Jl. Rawa Wadas RT 003/06 ,,,,,,,,,,,,,
Jakarta Timur,Kel.Pondok Kopi  II,Jl. Robusta Raya Blok Q VIII No. 2,,,,,,,,,,,,,
Jakarta Timur,Kel. Pondok Kelapa ,Jl. H. Dogon,,,,,,,,,,,,,
Jakarta Timur,KEC. Cakung ,Jl. Raya Bekasi KM 18,,,,,,,,,,,,,
Jakarta Timur,Kel. Jatinegara  ,Jl. Raya Bekasi KM 17 Rt 005/03,,,,,,,,,,,,,
Jakarta Timur,Kel. Rawa Teratai ,Jl. Raya Bekasi KM 21,,,,,,,,,,,,,
Jakarta Timur,Kel.Penggilingan I,Jl. Comp. Angke Elok ,,,,,,,,,,,,,
Jakarta Timur,Kel. Penggilingan II,Jl. Komp. PIK Blok D,,,,,,,,,,,,,
Jakarta Timur,Kel. Cakung Timur ,Jl. Balai Rakyat I Rt 0013/01,,,,,,,,,,,,,
Jakarta Timur,Kel. Cakung Barat ,Jl. Raya Tipar Rt 001/07,,,,,,,,,,,,,
Jakarta Timur,Kel. Ujung Menteng ,Jl. Raya Bekasi Km 26,,,,,,,,,,,,,
Jakarta Timur,Kel. Pulo Gebang ,Jl. Stasiun KM 4 Rt 006/03,,,,,,,,,,,,,
Jakarta Timur,KEC. Pulogadung ,Jl. Kayu Putih Selatan III / 2 B,,,,,,,,,,,,,
Jakarta Timur,Kel. Kayu Putih ,Jl. Plafon I RT 002/01 Kampung Ambon,,,,,,,,,,,,,
Jakarta Timur,Kel. Jati I ,Jl. Pulo Asem IV RT 001/02,,,,,,,,,,,,,
Jakarta Timur,Kel. Jati II ,Jl. Kaplongan I / 267,,,,,,,,,,,,,
Jakarta Timur,Kel. Rawamangun ,Jl. Taman Jelita Utara Ra/5 ,,,,,,,,,,,,,
Jakarta Timur,Kel. Pisangan Timur I ,Jl. Gading Raya I RT 0012/04,,,,,,,,,,,,,
Jakarta Timur,Kel. Pisangan Timur II,Jl. H. Mugeni III RT 0012/04,,,,,,,,,,,,,
Jakarta Timur,Kel. Cipinang ,Jl. El Cipinang / Masjid Baitussalam No. 19,,,,,,,,,,,,,
Jakarta Timur,Kel. Jatinegara Kaum ,Jl. TB. Badarudin RT 001/05,,,,,,,,,,,,,
Jakarta Timur,KEC. Matraman ,"Jl Pisangan Baru Timur no 2A, 04/09/ Kebon Kelapa Raya",,,,,,,,,,,,,
Jakarta Timur,Kel. Utan Kayu Selatan I ,Jl. Skip Ujung RT 010/07,,,,,,,,,,,,,
Jakarta Timur,Kel. Utan Kayu Sel II ,Jl. Galursari Raya RT 0013/01,,,,,,,,,,,,,
Jakarta Timur,Kel. Kayu Manis ,Jl. Kayu Manis II,,,,,,,,,,,,,
Jakarta Timur,Kel. Utan Kayu Utara ,Jl. Pegayoman Komp.Kehakiman,,,,,,,,,,,,,
Jakarta Timur,Kel. Pal Meriem ,Jl. Palmeriem ,,,,,,,,,,,,,
Jakarta Timur,Kel. Kebon Manggis,Jl TM Slamet Riyadi II no 1 Rt 5/ rw 4,,,,,,,,,,,,,
Kepulauan Seribu,Kec. Kepulauan Seribu Utara,Pulau Kelapa,,,,,,,,,,,,,
Kepulauan Seribu,Kel. Pulau Panggang,"Kelurahan Pulau Panggang, Kec Kepulauan Seribu Utara",,,,,,,,,,,,,
Kepulauan Seribu,Kel. Pulau Harapan,"Kelurahan Pulau Harapan, Kec Kepulauan Seribu Utara",,,,,,,,,,,,,
Kepulauan Seribu,Kec. Kepulauan Seribu Selatan,"Dermaga Pulau Tidung, Kec Kepulauan Seribu Selatan",,,,,,,,,,,,,
Kepulauan Seribu,Kel. Pulau Untung Jawa,Pulau Untung Jawa ,,,,,,,,,,,,,
Kepulauan Seribu,Kel. Pulau Pari ,"Pulau Lancang, Kep Seribu Selatan",,,,,,,,,,,,,
Kepulauan Seribu,Poskes Pulau Pari,"Pulau Pari, Kep Seribu Selatan",,,,,,,,,,,,,
Kepulauan Seribu,Poskes Pulau Payung,"Pulau Payung, Kep Seribu Selatan",,,,,,,,,,,,,
